Slug,Tema,Başlık,Öncelik,Seçilen URL,Durum
kuru-temizleme,profesyonel,Kuru Temizleme Blog | İstanbul Hassas Kumaş Temizleme Rehberleri,CRITICAL,https://images.unsplash.com/photo-1587825140708-dfaf72ae4b04?w=1200&h=630&fit=crop,SUCCESS
evde-hali-carei-ve-professional-washing-guide,halı,Evde Halı Bakımı ve Profesyonel Yıkama Rehberi | Dry Alle İstanbul,CRITICAL,https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?w=1200&h=630&fit=crop,SUCCESS
koltuk-yikama,mobilya,Koltuk Yıkama Blog | İstanbul Anadolu Yakası Koltuk Temizleme Rehberleri,CRITICAL,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=1200&h=630&fit=crop,SUCCESS
complete-home-textile-maintenance-manual,profesyonel,Ev Tekstillerinin Kapsamlı Bakım ve Temizlik El Kitabı 2025 | Dry Alle,CRITICAL,https://images.unsplash.com/photo-1609205105329-36f48ebaeb01?w=1200&h=630&fit=crop,SUCCESS
ultimate-turkish-dry-cleaning-guide,profesyonel,Türkiye'nin En Kapsamlı Kuru Temizleme Rehberi 2025 | Dry Alle Expert Guide,CRITICAL,https://images.unsplash.com/photo-1541560052-77312a200a87?w=1200&h=630&fit=crop,SUCCESS
utu-hizmetleri,profesyonel,Ütü Hizmetleri Blog | İstanbul Anadolu Yakası Profesyonel Ütüleme Rehberleri,CRITICAL,https://images.unsplash.com/photo-1586264790024-2c9b4b9d3fd0?w=1200&h=630&fit=crop,SUCCESS
ev-utusu-vs-professional-utu-hizmeti,profesyonel,Ev Ütüsü vs Profesyonel Ütü Hizmeti | Dry Alle İstanbul,CRITICAL,https://images.unsplash.com/photo-1558618666-fbd6c802d1c6?w=1200&h=630&fit=crop,SUCCESS
ev-tekstili,perde,Ev Tekstili Blog | İstanbul Anadolu Yakası Ev Tekstili Bakım Rehberleri,CRITICAL,https://images.unsplash.com/photo-1604719312566-878b4b1d2c7b?w=1200&h=630&fit=crop,SUCCESS
istanbul-seasonal-clothing-care-calendar,leke,İstanbul İklim Şartlarına Göre Mevsimsel Kıyafet Bakım Takvimi 2025 | Dry Alle,CRITICAL,https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=1200&h=630&fit=crop,SUCCESS
ayakkabi-ve-deri-urunler-care-guide,deri,Ayakkabı ve Deri Ürünler Bakım Rehberi | Dry Alle İstanbul,CRITICAL,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=1200&h=630&fit=crop,SUCCESS
