Date,Platform,Content Type,Title,Description,Hashtags,CTA,Link Target,Engagement Goal,PR Integration
2025-01-20,Instagram,Before/After,"Vintage Halı Dönüşümü","80 yıllık antika halının büyülü dönüşümü. Uzman ekibimizle tarihi dokular yeniden hayat buluyor.","#dryalle #halıyıkama #kadıköy #antikahalı #vintage #istanbul #tekstilbakım #uzmanhizmet",WhatsApp Randevu,wa.me/905433527474,500+ likes,Local Heritage Story
2025-01-20,TikTok,Process Video,"Gelinlik Temizlik Süreci","25 saniyelik hızlandırılmış gelinlik temizlik süreci. Her adım özenle!","#gelinliktemizliği #dryalle #düğün #temizlik #istanbul #viral #keşfet",Profil Ziyareti,Profile Link,10000+ views,Wedding Season Prep
2025-01-20,Google Posts,Service Highlight,"Hafta Sonu Gelinlik Özel","Hafta sonu gelinlik temizliğinde %20 indirim! Düğün hazırlıklarınızı güvende bırakın.","",Hemen Ara,tel:+905433527474,100+ clicks,Weekend Special Offer
2025-01-22,Instagram,Customer Story,"Müşteri Testimonial","'5 yıldır güvendiğim tek adres!' - Ayşe Hanım, Fenerbahçe. Müşteri memnuniyeti bizim gururumuz.","#müşterimemnuniyeti #dryalle #fenerbahçe #güven #kalite #testimonial",Yoruma Yazın,Comments,300+ comments,Customer Success Story
2025-01-22,LinkedIn,Industry Insight,"Tekstil Sektörü Trends","2025'te tekstil bakım sektöründeki teknoloji trendleri ve sürdürülebilirlik yaklaşımları.","",Makaleyi Oku,Blog Post,50+ shares,Industry Thought Leadership
2025-01-24,Instagram,Educational,"Kumaş Bakım İpuçları","Lüks kumaşlarınızı evde nasıl korursunuz? Uzmanlarımızdan 5 altın kural!","#kumaşbakımı #uzmanıpuçları #dryalle #evbakımı #tekstil #ipuçları",Kaydet,Save Post,400+ saves,Educational Content
2025-01-24,TikTok,Challenge,"#TemizlikChallenge","Evinizdeki en zor lekeyi gösterin! En yaratıcı paylaşıma ücretsiz temizlik hizmeti!","#temizlikchallenge #dryalle #challenge #keşfet #istanbul #ücretsiz",Katıl,Challenge Hashtag,50000+ views,Viral Marketing Campaign
2025-01-27,Instagram,Behind Scenes,"Ekip Tanıtımı","25 yıllık deneyimli Master Temizlik Uzmanımız Mehmet Usta ile tanışın!","#ekibimiz #uzman #deneyim #dryalle #masterusta #tekstiluzmanı",DM Gönder,Direct Message,250+ DMs,Team Humanization
2025-01-27,Google Posts,Local Focus,"Kadıköy'e Özel","Kadıköy sakinlerine özel aynı gün teslim hizmeti! Sabah verdiğiniz tekstili akşam alın.","",WhatsApp İletişim,wa.me/905433527474,200+ contacts,Local Community Focus
2025-01-29,Instagram,Tech Showcase,"Modern Teknoloji","Son teknoloji eco-friendly temizlik makinelerimizle doğa dostu hizmet sunuyoruz.","#teknoloji #ecofreindly #sürdürülebilir #dryalle #çevreci #modern",Keşfet,Explore,600+ views,Sustainability Messaging
2025-01-29,TikTok,Quick Tips,"30 Saniyede Leke Çıkarma","Evde leke çıkarmanın en hızlı 3 yöntemi! (Profesyonel hizmet için bizi arayın)","#leke #temizlik #hızlıçözüm #evipuçları #dryalle #keşfet",Link Bio,Profile Link,25000+ views,Educational Viral Content
